code,flags,name,descr,type,price,name_en,descr_en
B1,1,Шашлык из свиной шеи 200 г,"Сочный шашлык из маринованной свинины, приготовленный на живом огне до румяной корочки. Подаётся с фирменным мишкиным соусом и маринованным лучком.",1,175000,Pork Neck Shashlik 200g / Thịt xiên nướng thịt lợn,"Delicate pork meat BBQ'd with house sauce and sliced pickled onions"
B2,1,Шашлык из куриных крыльев 250 г,"Ароматные куриные крылышки, замаринованные в специях и обжаренные на мангале до хрустящей корочки. Нежное мясо и насыщенный вкус дыма.",1,129000,Chicken / Ga,"Chicken wings BBQ'd"
B3,1,Шашлык из баранины 200 г,"Классический шашлык из сочной баранины, приготовленный на углях. Насыщенный вкус мяса, аромат специй и лёгкий дымок.",2,249000,Shashlyk labm / Thịt cừu xiên nướng,"Classical taste of juicy lamb meat and smell of scented herbs with light smoke. Charcoal-grilled"
B4,1,Люля-кебаб 200 г,"Сочный люля-кебаб из трёх видов мяса (свинина, баранина, курица), приготовленный на шампурах над углями. Нежный, ароматный и очень сытный.",,129000,Lula Kebab,Turkish style BBQ'd meat
B9,0,Креветки на мангале,"Очищенные тигровые креветки, в лёгком маринаде лайма и соевого соуса. Обжариваем на огне до сочности и подаём с фирменным острым соусом. 10 штук",,160000,Grilled shrimp / Tôm chiên,"Peeled grilled shrimp with home hot sauce. 10pcs"
B5,1,Шашлык из куриных сердечек 150 г,"Нежные куриные сердечки, замаринованные со специями и обжаренные на мангале. Любимое блюдо для тех, кто ценит насыщенный мясной вкус.",,129000,BQQ'd chicken hearts,
B6,1,Шашлык из грибов,"Сочные королевские вешенки, приготовленные на мангале до золотистой корочки. Аромат дыма и нежная текстура делают их отличной закуской к мясу.",,119000,Mushrums BBQ,
B7,1,Хачапури на мангале,"Хрустящее слоёное тесто с тянущейся моцареллой, запечённое на мангале. Сытно, ароматно и очень по-домашнему.",,129000,Hachapury,"Cheese BBQ'd in puff pastry"
B8,1,Овощи на мангале,"Ассорти свежих овощей (помидор, кабачок, баклажан, перец болгарский), запечённых на углях до мягкости и лёгкой карамелизации. Лёгкий и ароматный гарнир к мясу.",,89000,Grilled vegetables,"Tomato, zucchini, eggplant, bell papper" 
O8,1,Блины с мясом,"Тонкие, румяные блины с золотистой корочкой. В порции два блинчика и сметана",,119000,"Meat stuffed pancakes / Bánh kếp mỏng","Thin, golden-brown pancakes with a crispy crust. Each serving includes two pancakes and sour cream"
O1,1,Картофель по-славянски,"Золотистый картофель с румяной корочкой, приготовленный со специями. Простой, сытный и очень вкусный гарнир.",,119000,Grilled potatoes,
O2,1,Салат из свежих овощей,"Свежие хрустящие овощи (помидор, огурец, болгарский перец, лучок зеленый), нарезанные крупно и приправленные лёгкой заправкой. Идеальное дополнение к шашлыку.",,89000,Fresh salad,
O3,1,Пельмешки отварные,"Домашние пельмени, отваренные до нежности и подающиеся с греческим йогуртом. Настоящий вкус домашней кухни.",,159000,Classical Russian Pelmeny,
O4,1,Пельмешки - фри,"Хрустящие пельмени, обжаренные до золотистой корочки. Снаружи хрустят, внутри остаются сочными.",,159000,Fried Russian Pelmeny,
O6,1,Мишкин соус с зеленушкой и луком,Фирменный соус с ароматной зеленью и луком. Идеально дополняет шашлык и блюда с мангала.,,29000,Home made sauce,
O9,1,Мишкин острый соус,Фирменный соус с корейской чили пастой. Для любителей погорячее.,,29000,Home made HOT sauce,
O7,1,Мишкин хлеб,Обжаренные на мангале кусочки хрустящего хлеба с чесноком,,5000,Grilled bread,
S1,1,Сет «Два мишки на юге» 1000 г,На 2 персоны:   Шашлык из свиной шеи |  Люля-кебаб |  Овощи на мангале |  Картофель по-славянски |  Мишкин соус - 2 |  Мишкин хлеб,,469000,Combo for 2 persons,"Pork Neck Shashlik | Lula Kebab | Grilled vegetables | Grilled potatoes | Home made sauce - 2 | Grilled bread"
S2,1,Сет «Мишка греется» 1500 г ,На 3-4 персоны:   Шашлык из свиной шеи - 2 |  Шашлык из куриных крыльев |  Люля-кебаб - 2 |  Шашлык из грибов |  Картофель по-славянски |  Мишкин соус - 3 |  Мишкин хлеб,,899000,Combo for 3-4 persons,"Pork Neck Shashlik - 2 | Chicken wings | Lula Kebab - 2 | Mushrums BBQ | Grilled potatoes | Home made sauce - 3 | Grilled bread"
S3,1,Сет «Южная берлога» 2800 г,На 5-6 персон:   Шашлык из свиной шеи - 3 |  Шашлык из баранины – 2 |  Шашлык из куриных крыльев  |  Люля-кебаб -3  |  Шашлык из грибов  |  Картофель по-славянски - 2  |  Овощи на мангале  |  Мишкин соус - 5  |  Мишкин хлеб,,1690000,Combo for 5-6 persons,"Pork Neck Shashlik - 3 | Shashlyk labm - 2 | Chicken wings | Lula Kebab - 3 | Mushrums BBQ | Grilled potatoes - 2 | Grilled vegetables | Home made sauce - 5 | Grilled bread"
S4,1,Сет «Мишкин пир» 4500 г,На 7-8 персон:   Шашлык из свиной шеи - 4 |  Шашлык из баранины - 2 |  Шашлык из куриных крыльев - 2 |  Люля-кебаб - 2 |  Шашлык из куриных сердечек - 2 |  Шашлык из грибов - 2 |  Картофель по-славянски - 3 |  Овощи на мангале - 2 |  Мишкин соус - 7 |  Мишкин хлеб,,2299000,Combo for 7-8 persons,"Pork Neck Shashlik - 4 | Shashlyk labm - 2 | Chicken wings - 2 | Lula Kebab - 2 | Chicken hearts - 2 | Mushrums BBQ - 2 | Grilled potatoes - 3 | Grilled vegetables - 2 | Home made sauce - 7 | Grilled bread"
D1,1,Пиво Saigon,,,40000,Saigon beer,
D2,1,Coca-cola,,,30000,Cola-cola,
D3,1,Лимонад,Апельсиновый лимонад,,30000,Lemonade,
D4,1,Холодный чай,Напиток в бутылке из натурального чая улун,,30000,Cold oulun tea,
D5,1,Кофе черный,,,40000,Black coffee,
D6,1,Кофе со сгущенкой,,,40000,Sweet milk coffee,
D7,1,Кофе с солеными сливками,,,40000,Salted cream coffee,
D8,1,Кофе с яичным кремом,,,45000,Eggs cream coffe,
X1,1,Приборы,"Вилка, ложка, салфетка, зубочистка",,0,Cutlery,
